ID,Translation,Host_Lemma,Host_Trans,Form,Context
148,до потолка,микъа́р (микъаракьи- на потолке),потолок (на потолке),микъаракьа́,микъаракьа́ бацIиде́ра
149,обидеться на замечание,unclear,,гьикьа́б,гьикьа́б на михи́
150,вертикаль,гьикьи,"внизу; вниз; под",гьикьа́,гьикьа́ гье́суб му́хъи
151,на небо,реши́н,небо,решинакьа́,решинакьа́
152,космический полёт,реши́н,небо,решинакьа́,решинакьа́ бу́рдир
153,вповалку,гьикьи,"внизу; вниз; под",гьикьа́ гье,гьикьа́ гье ригьа́бццуб
154,наклониться,гьикьи,"внизу; вниз; под",гьикьа́,гьикьа́ ссарди́ 
155,наказать,тами́хI,наказанье,тамихIакьа́,тамихIакьа́ ганди́
156,наказуемый,тами́хI,наказанье,тамихIакьа́,тамихIакьа́ га́нди вуккихо́ (буккиха́б; йиккиха́й; руккиха́л) 
157,наказание,тами́хI,наказанье,тамихIакьа́,тамихIакьа́ га́ндир
158,его надо наказать,тами́хI,наказанье,тамихIакьа́,гьу тамихIакьа́ ганди́ вукка́
159,"слить; смешать; налив из разных мест",гьикьи,"внизу; вниз; под",гьикьа́-гье,гьикьа́-гье тIинди́
160,"общаться; бывать; видеться; водиться",гьикьи,"внизу; вниз; под",гьикьа́-гье,гьикьа́-гье хьвади́
161,общаться с друзьями,гьикьи,"внизу; вниз; под",гьикьа́-гье,гьуду́лзабилъичІу гьикьа́-гье хьвади́
161,общаться с друзьями,гьуду́л>гьудулзабалъи,друг>друзья,гьуду́лзабилъичІу,гьуду́лзабилъичІу гьикьа́-гье хьвади́
162,лизис (в противоположность кризису),гьикьи,"внизу; вниз; под",гьикьа́,цIай гьикьа́ бу́ккир
163,жаропонижающий,гьикьи,"внизу; вниз; под",гьикьа́,цIай гьикьа́ бу́ккайхаб 
164,разжаловать,гьикьи,"внизу; вниз; под",гьикьа́,гьикьа́ чIчIабди́
165,позвать к телефону,телепо́н,телефон,телепо́налъа,телепо́налъа бе́ди
166,вызвать на суд,сутІ,суд,су́тІилъа,су́тІилъа бе́ди
167,вызвать на соревнование,къец,соревнование,къе́цІилъа,къе́цІилъа бе́ди
168,купить за полцены,багьа́,цена,багьа́лълъа,бекъи́н багьа́лълъа хи 
169,оставить билет в кино,кино́,"кино; фильм",кино́лъа,биле́т бети́ кино́лъа
170,"далее; затем",гьу,это,гьу́лълъа,гьу́лълъа беху́тІу
171,затем полил дождь,гьу,это,гьу́лълъа,гьу́лълъа беху́тІу ба́гьу цІцІай
172,"на конце; в конце",бе́ххи,"конец; конечная часть",беххи́лълъа,беххи́лълъа 
173,"завершить; довести до конца",бе́ххи,"конец; конечная часть",беххи́лълъа,беххи́лълъа бацІа́й
174,в конце книги,бе́ххи,"конец; конечная часть",беххи́лълъа,хъу́чилъи беххи́лълъа
175,до конца,бе́ххи,"конец; конечная часть",беххи́лълъа,беххи́лълъа бацІиде́ра
176,завершиться,бе́ххи,"конец; конечная часть",беххи́лълъа,беххи́лълъа бацІи́
177,из конца в конец,бе́ххи,"конец; конечная часть",беххи́лълъа,беххи́лълъаку беххи́лълъа
178,"завершение; достижение конца",бе́ххи,"конец; конечная часть",беххи́лълъа,беххи́лълъа ба́цІир
179,пять дней осталось до твоего отъезда в Москву,масква?,Москва,москве́лълъа,ишту́да зив бе́хху и́да мин москве́лълъа ванъи́
180,"а) лечь в постель б) перен. слечь; заболеть",беше́н,"гнездо; постель",бешена́лълъа,бешена́лълъа рулІи́
181,засунуть руку в карман,чанта́,"карман; сума",чанта́лълъа,чанта́лълъа ре бешти́
182,залезть в карман,чанта́,"карман; сума",чанта́лълъа,чанта́лълъа ре́ъа бешти́
183,насыпать муку в мешок,къегьен,мешок,къегьеналълъа,хьва́хъу къегье́налълъа гьи́на бигьи́
184,по любой цене,багьа́,цена,багьа́лълъа,бакъа́б багьа́лълъа
185,я ходил в баню,ба́ни,баня,ба́нилъа,ден ба́нилъа ва́нъа ву́кІа
186,выкатиться,unclear,?,бе́лълъа,о́рсса бара́хху бе́лълъа букІи́
187,натаскать мешков в подвал,падва́л,подвал,падва́ралъа,падва́ралъа къегье́малъи барлІи́
188,погладить брюки,ба́рта(бартильи),брючина(брюки),ба́ртилъа,ба́ртилъа е́ту бешти́
189,"я не хочу; чтобы именно он был;",гьалълъа,"здесь; сюда",гьа́лълъа,батІа́да гьу́лъичІи ди гьа́лълъа вукІи́ къоро́
190,дать объявление в газету,газе́та //газет,газета,газе́тилъа ,газе́тилъа абйавле́ни кки
191,Наш агроном пошел в сад,ми́гъи,"сад (большой);обобщ. поля; сады; обрабатываемая земля",мигъилъа,Ищив аграном мигъилъа ванъа ида 
192,Сегодня я ходил в амбулаторию,амбулато́ри,амбулатория,амбулато́рилъа,Ден эгье́л амбулато́рилъа ва́нъа ву́кIа
193,отправить в отставку,ацта́вка,отставка,ацта́вкалъа,ацта́вкалъа витIа́й
194,"а) дойти до конца; б) перен. быть при смерти; умирать",ба́й,край,ба́йлъа,ба́йлъа ва́цIа вукIи́ 
195,его жизнь на волоске,ба́й,край,ба́йлъа,виъи́рлъи ба́йлъа ва́цІа и́да 
196,"законченный; доведённый до конца",ба́й,край,ба́йлъа,ба́йлъа буха́б
197,"законченный; доведённый до конца",ба́й,край,ба́йлъа,ба́йлъа бацIиде́ра игьа́б
198,вскинуть винтовку на спину (на плечо),ми́гъул,спина,ми́гъвалъа,томо́нги ми́гъвалъа била́й
199,положить мешок на спину ослу,ми́гъул,спина,ми́гъвалъа,гьама́хичІу ми́гъвалъа къегье́н била́й
200,"грязи (лечебные); ",би́ччи,грязь,би́ччилъа,би́ччилъа ру́лIихаб му́са
201,понять до конца,га́ру,шея,га́рлълъа,га́рлълъа бацІиде́ра бичІчІи́ 
202,вдеть нитку в иголку,баган,"нора; дыра; отверстие; щель",багана́лълъа,реку́н бежуна́лъи багана́лълъа букка́й
203,вступить в законную силу,зако́н,закон,зако́налъа,зако́налъа булІи́
204,этим дело не исчерпывается,гьу,это,гьу́лълъа,гьу́лълъа иш булІе́вчІи
205,вытащить мешок во двор,ре́лъи,на_дворе,ре́лъа,къегье́н ре́лъа бухи́
206,волосы вылезли из-под папахи,гьикьи,"внизу; вниз; под",гьикьи́ку,къаба́лъачІу гьикьи́ку ба́са бу́хху
206,волосы вылезли из-под папахи,къаба́лъа,папаха,къаба́лъачІу,къаба́лъачІу гьикьи́ку ба́са бу́хху
207,достигнуть леса,ру́хьу,лес,ру́хьулъа,ру́хьулъа ва́цIи
208,уехать на курорт,куро́рт,курорт,куро́рталъа,куро́рталъа ва́нъи 
209,выбраться в театр,тиа́тир,театр,теа́терлъа,теа́терлъа во́рчIи
210,влопаться в грязь,би́ччи,грязь,би́ччилъа,би́ччилъа ву́кки
211,ввалиться в яму,до́нги,яма,до́нгилъа,до́нгилъа ву́кки
212,"влопаться; попасть во что-л. нечаянно",на,вещь_предмет,на́лълъа,цеб на́лълъа бегъичIа́да ву́кки
213,переехать в новый дом,мина́,"маленькое здание; дом",мина́лъа,цІив мина́лъа вулълъи́
214,поступить в институт,институ́т,институт,институ́тилъа,институ́тилъа вулълъи́
215,вступить в комсомол,комсомол?,комсомол,комсомо́лалъа,комсомо́лалъа (ка́мсомолалъа) вулълъи́
216,вступить в партию,парти,партия,па́ртилъа,па́ртилъа ву́лълъи
217,вступить в бой,рагъ,"война; бой; фронт",ра́гъилъа,ра́гъилъа ву́лълъи 
218,вступить в разговор,гу́латир,"разговор; речь",гу́латирлъа,гу́латирлъа ву́лълъи 
219,вызваться в разведку,разве́дка,разведка,разве́дкалъа,разве́дкалъа ва́ъи ву́лълъи
220,восшествие на престол,ханлъи́,власть,ханлъи́лъа,ханлъи́лъа ву́лълъир
221,там,галълъа,"там; туда",га́лълъа,га́лълъа
222,дел невпроворот,га́ру,шея,га́рлълъа,мухеди га́рлълъа-вацIиди
223,обилие,га́ру,шея,га́рлълъа,га́рлълъа бацIиде́ра идахо́б
224,"а) по горло; б) позарез",га́ру,шея,га́рлълъа,га́рлълъа бацIиде́р 
225,нужно позарез,га́ру,шея,га́рлълъа,га́рлълъа бацIиде́ра къоро́ и́да 
226,оттуда,го=в,"тот; этот",го́лълъаку,го́лълъаку
227,бормотание,unclear,,анта́ралъа,анта́ралъа гу́латир 
228,"Отец; повесив кинжал на бок; пошёл в сад",гъи́жи,бок,гъижихи,Има гъижихи ханжарла маша мигъилъа ва́нъа 
228,"Отец; повесив кинжал на бок; пошёл в сад",ми́гъи,"сад (большой);обобщ. поля; сады; обрабатываемая земля",мигъилъа,Има гъижихи ханжарла маша мигъилъа ва́нъа 
229,с боку на бок,гъи́жи,бок,гъи́жилъа ,цеб гъи́жихику цебла гъи́жилъа
230,неявка на занятие,дарцц/дарц,урок,да́рццилъа,да́рццилъа гъи́чІир
232,Самолёт попал в воздушную яму,до́нги,яма,донгилъа,Самалёт гьава́лъи донгилъа букку 
233,к тому же,гьу,это,гьу́лълъа,гьу́лълъа гье́хиндула
234,при всём том,гьу,это,гьу́лъа ,гьу́лъа гье́ххиндера 
235,кому-л. пришлось угостить чем-л. ценным,гьинкIу́ш,"закром; амбар",гьинкIушалъа ,гьинкIушалъа гьинкIкIва борлIа
236,получил доступ в амбар бабушки,гьинкIу́ш,"закром; амбар",гьинкIушалъа ,йечІу бабулъи гьинкIушалъа гьинкIкIвай борчIи бацІа
237,(о)каменеть,гьи́нцIа,камень,гьи́нцIалъа ,гьи́нцIалъа ссарди́
238,окаменелый,гьи́нцIа,камень,гьи́нцIалъа ,гьи́нцIалъа сса́рдаб 
239,окаменелость,гьи́нцIа,камень,гьи́нцIалъа ,гьи́нцIалъа сса́рди
240,войти в чью-л. жизнь,гIу́мру,жизнь,гIу́мрулъа,лъебхвала гIу́мрулъа вулъи
241,превратить чью-л. жизнь в ад,джуджахI,ад,джуджахIалъа,лълъебхвала гIумуру джуджахIалъа ссардай
242,внести раздор,дагІба́,спор,дагІба́лъа,дагІба́лъа барлълъа гъи
243,оспорить,дагІба́,спор,дагІба́лъа,дагІба́лъа гIанди́ 
244,"дорваться; довести себя до чего-л. неприятного;",къайда́ (къай),метод (утварь),къайда́лъа,инжи́таб къайда́лъа ру́кки
245,гнать животных в стадо,и́ша,стадо,ишалъа,ишалъа бутай
246,Я взял фонарь и пошёл в сад,ми́гъи,"сад (большой);обобщ. поля; сады; обрабатываемая земля",мигъилъа,Канавурла ибху ден мигъилъа ванъа
247,капитализировать,капита́л,капитал?,капита́лилъа ,капита́лилъа ссарда́й 
