Context,Context_Lemma
дел невпроворот,"дело невпроворот
"
обилие,"обилие
"
а) по горло; б) позарез,"по позарез
"
нужно позарез,"нужно позарез
"
оттуда,"оттуда
"
бормотание,"бормотание
"
Отец; повесив кинжал на бок; пошёл в сад,"повесить кинжал на пойти в сад
"
Отец; повесив кинжал на бок; пошёл в сад,"повесить кинжал на пойти в сад
"
с боку на бок,"с бок на бок
"
неявка на занятие,"неявка на занятие
"
Самолёт попал в воздушную яму,"самолет попадать в воздушный яма
"
к тому же,"к то же
"
при всём том,"при весь то
"
кому-л. пришлось угостить чем-л. ценным,"приходиться угощать ценный
"
получил доступ в амбар бабушки,"получать доступ в амбар бабушка
"
(о)каменеть,
окаменелый,"окаменелый
"
окаменелость,"окаменелость
"
войти в чью-л. жизнь,"входить в жизнь
"
превратить чью-л. жизнь в ад,"превращать жизнь в ад
"
внести раздор,"вносить раздор
"
оспорить,"оспаривать
"
дорваться; довести себя до чего-л. неприятного;,"доводить себя до
"
гнать животных в стадо,"гнать животное в стадо
"
Я взял фонарь и пошёл в сад,"я взять фонарь и пойти в сад
"
капитализировать,"капитализировать
"
капитализироваться,"капитализироваться
"
крахмалить одежду,"крахмалить одежда
"
волна набежала на берег,"волна набегать на берег
"
поехать на курорт ,"поехать на курорт
"
вкоренить,"вкоренять
"
поработить,"порабощать
"
порабощение,"порабощение
"
загребать; погружать в воду (вёсла),"погружать в вода
"
водолаз,"водолаз
"
прошептать,"прошептать
"
дозировать,"дозировать
"
ковырять в носу,"ковырять в нос
"
войти в моду,"входить в мода
"
войти в моду,"входить в мода
"
вывезти много книг на дачу,"вывозить много книга на дача
"
убедить кого-л. согласиться с чем-кем-л.; сотрудничать с кем-л.; ,"убеждать соглашаться с сотрудничать с
"
никелировать чайник,"никелировать чайник
"
отправить в отпуск,"отправлять в отпуск
"
выйти на пенсию,"выходить на пенсия
"
провоцировать,"провоцировать
"
пойти на войну,"пойти на война
"
военизировать,"военизировать
"
вогнать гвоздь в доску,"вгонять гвоздь в доска
"
впустить публику в зал,"впускать публика в зал
"
вселить в новый дом,"вселять в новый дом
"
раскошелиться,"раскошеливаться
"
«протянуть руку дальше; чем сможешь убрать»,"рука чем смочь
"
при том,"при то
"
(за)стыдить; постыдить; устыдить(ся),
(по)стыдиться,
заробеть; начать робеть; застыдиться; застесняться,"начинать застесняться
"
скромность; застенчивость,"застенчивость
"
скромный; робкий; стыдливый; застенчивый; стеснительный,"стеснительный
"
варьировать; видоизменять,"видоизменять
"
обратить здания в развалины,"обращать здание в развалины
"
обратить; превратить воду в пар,"превращать вода в пар
"
варьировать; видоизменяться,"видоизменяться
"
он обернулся лисой,"он обертываться лиса
"
вода превратилась в лёд,"вода превращаться в лед
"
дружба перешла в любовь;,"дружба переходить в
"
ежесекундный,"ежесекундный
"
влить воду в бочку,"вливать вода в бочка
"
ложка дёгтя в бочке мёда (муха; попавшая в масло),"ложка деготь в бочка мед попадать в
"
ложка дёгтя в бочке мёда (муха; попавшая в масло),"ложка деготь в бочка мед попадать в
"
критиковать невзирая на лица,"критиковать невзирая на лицо
"
втащить мешок в подвал,"втаскивать мешок в подвал
"
итожить,"итожить
"
объединение,"объединение
"
солёный (об овощах); ,"соленый
"
соленье,"соление
"
(на)солить; просолить (овощи),"просолить
"
его влечёт в науку,"его влечь в наука
"
заболотиться,"заболачиваться
"
засахариться,"засахариваться
"
возвыситься,"возвышаться
"
а) попасть в рай; б) перен. скончаться; отдать концы,"попадать в отдавать конец
"
а) жить в ожидании рая; б) перен. быть одной ногой в могиле;,"жить в ожидание быть один нога в
"
послать; отправить в армию,"отправлять в армия
"
мобилизовать; призвать в армию,"призывать в армия
"
военнообязанный,"военнообязанный
"
мобилизованный,"мобилизованный
"
раздвоиться; разделиться надвое,"разделяться надвое
"
пойти на свадьбу,"пойти на свадьба
"
пригласить на свадьбу,"приглашать на свадьба
"
пустить капли в нос,"пускать капля в нос
"
сыпь в одну кучу,"сыпь в один куча
"
набросать в яму чего-л,"набросать в яма
"
заправиться; поесть,"поесть
"
в яму навалилось много земли,"в яма наваливаться много земля
"
побывать в Сибири,"побывать в сибирь
"
попасть под суд,"попадать под суд
"
залезть в воду,"залезать в вода
"
внести в вагон,"вносить в вагон
"
пароход погрузился в воду,"пароход погружаться в вода
"
воплотить,"воплощать
"
вывести войско на парад,"выводить войско на парад
"
доработаться,"дорабатываться
"
отдать ребёнка в ясли,"отдавать ребенок в ясли
"
попал в полынью,"попадать в полынья
"
он перешёл на второй курс,"он переходить на второй курс
"
мучать,"мучать
"
мученичество,"мученичество
"
противник прижат к реке,"противник прижимать к река
"
наквасить,"наквашивать
"
песок засыпался в туфли,"песок засыпаться в туфля
"
военизация,"военизация
"
обратить человека в зверя,"обращать человек в зверь
"
обратить в шутку,"обращать в шутка
"
слить; перелить,"переливать
"
встать на учёт,"вставать на учет
"
с жиру лопаться,"с жир лопаться
"
принимать во внимание,"принимать во внимание
"
испарить,"испарять
"
испариться,"испаряться
"
испарение,"испарение
"
насолить огурцов,"насолить огурец
"
подсолить,"подсолить
"
ввести заряд во что-л.,"вводить заряд во
"
пресытиться,"пресыщаться
"
лезть в письменный стол,"лезть в письменный стол
"
лезть в письменный стол,"лезть в письменный стол
"
залезть в карман,"залезать в карман
"
NA,"NA
"
беззаветный (сх: назад не смотрящий),"беззаветный назад не
"
решительный (сх: назад не смотрящий),"решительный назад не
"
отправить домой,"отправлять домой
"
с тех пор,"с тот пора
"
катись ты к чёрту,"катиться ты к черт
"
с малых лет,"с малый год
"
торговать вразнос,"торговать вразнос
"
Комната стала светлой; как только отец вернулся домой,"комната становиться как только отец вернуться домой
"
осадить; заставить податься назад,"заставлять подаваться назад
"
подлить масла в огонь,"подливать масло в огонь
"
пойти домой,"пойти домой
"
повернуть вспять,"повертывать вспять
"
неотложный вопрос,"неотложный вопрос
"
переполнен,"переполнять
"
отложить,"откладывать
"
отложить на завтра,"откладывать на завтра
"
видно; придется идти домой,"приходиться идти домой
"
надо пригнать домой скот; находящийся на горе,"надо пригонять домой находиться на гора
"
а) вернуться; б) уйти; отойти назад,"отходить назад
"
посмотреть назад,"посмотреть назад
"
перед тем как испортить воздух; назад оглянись,"перед то как испортить назад оглянуться
"
отложить  ,"откладывать
"
отлагательство,"отлагательство
"
безотлагательный; неотложный,"неотложный
"
без отлагательства,"без отлагательство
"
сроду; со дня рождения,"со день рождение
"
сроду; со дня рождения,"со день рождение
"
отныне; с сегодняшнего дня,"с сегодняшний день
"
переносить (дату); отсрочить,"переносить отсрочивать
"
неотложный вопрос,"неотложный вопрос
"
завалиться; упасть за что-л.,"упасть за
"
довезти до дому,"довезти до дом
"
приехать домой,"приезжать домой
"
уйти домой,"уходить домой
"
демобилизовать,"демобилизовать
"
ни на шаг не отходить,"ни на шаг не отходить
"
прийти домой,"приходить домой
"
с давних пор,"с давний пора
"
отпроситься домой,"отпрашиваться домой
"
прислать на дом ,"присылать на дом
"
незаметный; незначительный; ничем не выдающийся,"ничто не выдающийся
"
оттянуться; отступить(ся); пятиться,"пятиться
"
робеть,"робеть
"
по дороге домой,"по дорога домой
"
загорать; пребывать в бездействии; сидя где-л.,"пребывать в сидеть
"
отвести детей домой,"отводить ребенок домой
"
издавна; с давних пор,"с давний пора
"
избить кого-л.,"избивать
"
от зари до зари,"от заря до заря
"
оглянуться (сх: назад смотреть),"оглянуться назад
"
решительный (сх: назад не смотрящий),"решительный назад не
"
решительно; 2. независимо,"независимо
"
добежать до дому,"добежать до дом
"
свернуть волосы на голове,"свертывать волос на голова
"
пригласить домой,"приглашать домой
"
давить на голову,"давить на голова
"
надеть на голову,"надевать на голова
"
прийти в голову,"приходить в голова
"
спятить; сойти с ума,"сходить с ум
"
втолковать;,
с ног до головы,"с нога до голова
"
вбить в голову,"вбивать в голова
"
забрать себе в голову сделать что-л,"забирать себя в голова сделать
"
воспринять,"воспринимать
"
возноситься; стать высокомерным,"становиться высокомерный
"
непочтение к старшим,"непочтение к старший
"
К нам приехал адыгеец,"к мы приезжать адыгеец
"
наплевать на пол,"наплевать на пол
"
я не знал; что он у вас не был,"я не что он у вы не быть
"
приглашать в гости,"приглашать в гость
"
а) придти в гости по приглашению; б) являться по вызову,"прийти в гость по являться по вызов
"
вернуть долг,"вернуть долг
"
1.а) вдоль; б) в длину 2.горизонтально; по горизонтали,"в длина по горизонталь
"
измерить в длину,"измерять в длина
"
не дай Бог увидеть траурный день,"не давать бог увидеть траурный день
"
невозмутимый; спокойный; ничем не нарушаемый,"ничто не нарушать
"
тихая погода,"тихий погода
"
утихнуть; успокоиться,"успокаиваться
"
подбросить; бросить вверх,"бросать вверх
"
взлететь на воздух от взрыва,"взлетать на воздух от взрыв
"
подбросить товар в магазин,"подбрасывать товар в магазин
"
вернуть жизнь,"вернуть жизнь
"
выронил письмо из рук,"выронить письмо из рука
"
наша обязанность — вернуться домой,"наш обязанность вернуться домой
"
ветер взметал солому,"ветер взметать солома
"
взлететь  ,"взлетать
"
взлетали самолёты,"взлетать самолет
"
а) опустить; б) затихнуть; успокоиться,"успокаиваться
"
успокоиться,"успокаиваться
"
неугомонный ,"неугомонный
"
зависеть от начальника,"зависеть от начальник
"
излазить все углы,"излазить весь угол
"
вздёрнуть,"вздергивать
"
втянуть в работу,"втягивать в работа
"
обращение (к людям),"обращение
"
группировать,"группировать
"
группировка,"группировка
"
вширь,"вширь
"
вот бы тебя повесить,"вот бы ты повесить
"
внакидку,"внакидку
"
проболтаться (о времени),"проболтаться
"
название сада в Ботлихе,"название сад в ботлих
"
прижить; родить; находясь в (небрачном) сожительстве,"находиться в сожительство
"
внебрачный,"внебрачный
"
незаконнорожденный,"незаконнорожденный
"
внебрачные дети,"внебрачный ребенок
"
выкидыш; незаконнорожденный,"незаконнорожденный
"
взметнуться,"взметываться
"
ракета взметнулась к небу,"ракета взметываться к небо
"
наверх,"наверх
"
альпинист,"альпинист
"
Я вчера видел альпиниста,"я вчера видеть альпинист
"
склонить,"склонять
"
ездить в гости,"ездить в гость
"
вода по колени,"вода по колено
"
вот бы тебя!...,"вот бы
"
вот бы тебя убить!,"вот бы ты
"
возглас; выражающий досаду,"выражать досада
"
доложить командиру,"докладывать командир
"
натрясти соли на пол,"натрясать соль на пол
"
древовидный,"древовидный
"
по-плохому ,
повернуть лицо к соседу,"повертывать лицо к сосед
"
выдвинуть на должность,"выдвигать на должность
"
в экстазе,"в экстаз
"
вскорости,"вскорости
"
оформить на работу,"оформлять на работа
"
обыскать все карманы,"обыскивать весь карман
"
по мере возможности,"по мера возможность
"
добром отдай,"добро отдавать
"
друг другу,"друг друг
"
гостить,"гостить
"
NA,"NA
"
воровски,"воровски
"
Вчера к нам заходила акушерка,"вчера к мы заходить акушерка
"
1. ласково; 2. по-хорошему,
он протянул ему «пустую» руку (= он ему не дал денег на дорогу) ,"он протягивать он рука он он не давать деньги на
"
посетить друга,"посещать друг
"
показаться доктору,"показываться доктор
"
Я показался на работе,"я показываться на работа
"
невыход на работу,"невыход на работа
"
врёт прямо в глаза,"врать прямо в глаз
"
временами отец захаживал к нам,"время отец захаживать к мы
"
пересдать,"пересдавать
"
ребячество,"ребячество
"
Дом перешёл к младшему сыну,"дом переходить к младший сын
"
поступить на работу,"поступать на работа
"
устроиться на работу,"устраиваться на работа
"
повернули на другой бок,"повертывать на другой бок
"
звереть,"звереть
"
в аптеку поступили лекарства,"в аптека поступать лекарство
"
попасть в аварию,"попадать в авария
"
погнать скот на пастбище,"погнать скот на пастбище
"
(пожелание) чтоб ты попал в рай (дай бог) ,"чтоб ты попадать в рай
"
очень жаль; что меня там не было (букв. о; Аллах; был бы я там),"очень что я там не быть быть бы я
"
сын пошел в армию,"сын пойти в армия
"
насыпать в суп немного соли,"насыпать в суп немного соль
"
ушел в отставку,"уходить в отставка
"
в конце концов настоял на своем ,"в конец конец настаивать на свой
"
наверное; пошел в сад-поле,"пойти в
"
в воскресенье я пойду на дачу,"в воскресение я пойти на дача
"
на свадьбу надо красиво одеваться,"на свадьба надо красиво одеваться
"
быть на краю смерти,"быть на край смерть
"
в знач. нареч. куда угодно,"в куда угодно
"
положить в середину,"полагать в середина
"
стань в середину,"становиться в середина
"
иногда я хожу на море,"иногда я ходить на море
"
собрать вещи в сундук,"собирать вещь в сундук
"
осенью я поеду в город,"осень я поехать в город
"
осенью я поеду в город,"осень я поехать в город
"
идти на рыбные промыслы,"идти на рыбный промысел
"
достать рукой до дерева,"доставать рука до дерево
"
отвести девочку в школу,"отводить девочка в школа
"
дети прибыли в лес,"ребенок прибывать в лес
"
я достал билет на концерт,"я доставать билет на концерт
"
температура достигла сорока (градусов),"температура достигать сорока
"
пришить к платью рукав,"пришивать к платье рукав
"
пригласить на свадьбу,"приглашать на свадьба
"
нас приглашают на свадьбу,"мы приглашать на свадьба
"
а) остаться в постельном режиме б) быть прикованным к постели,"оставаться в постельный режим быть приковывать к постель
"
дать отпуск (букв. отпустить в отпуск),"давать отпуск отпускать в
"
ввести в молоко сычужную закваску,"вводить в молоко сычужный закваска
"
отпустить девочку в школу,"отпускать девочка в школа
"
стой там! ,"стоять
"
посыпать соль на мясо ,"посыпать соль на мясо
"
умираю от стыда,"умирать от стыд
"
засыпать орехи в мешок,"засыпать орех в мешок
"
собрать вещи в сундук ,"собирать вещь в сундук
"
отправьте своих детей в школу,"отправлять свой ребенок в школа
"
пройти в институт ,"проходить в институт
"
в стадо пустили быка-производителя,"в стадо пускать
"
погнать корову в стадо,"погнать корова в стадо
"
погнать скот в поле,"погнать скот в поле
"
отныне я тебе не верю,"отныне я ты не верить
"
отныне я тебе не верю,"отныне я ты не верить
"
попал под суд,"попадать под суд
"
на вашу свадьбу я попал случайно,"на ваш свадьба я попадать случайно
"
на вашу свадьбу я попал случайно,"на ваш свадьба я попадать случайно
"
здесь поблизости должен быть родник,"здесь поблизости должный быть родник
"
лудить кувшин,"лудить кувшин
"
погнать корову в стадо,"погнать корова в стадо
"
погнать скот в лес,"погнать скот в лес
"
заглянуть в шкаф,"заглядывать в шкаф
"
гости ушли на вокзал,"гость уходить на вокзал
"
изредка я хожу на море,"изредка я ходить на море
"
мой ровесник добровольцем (букв. дав заяв-ление) ушел в армию,"мой ровесник доброволец давать уходить в армия
"
налить в ведро,"наливать в ведро
"
пополнел после болезни,"пополнеть после болезнь
"
отвести детей в школу,"отводить ребенок в школа
"
